Bid Number,Source ID,Bid Status,Quantity,Start Date,End Date,Buyer Name,Buyer Ministry,Buyer Organisation,Total Tech Sellers,Qualified Sellers,Disqualified Sellers,Financial L1 Seller,Financial L1 Price
GEM/2023/B/4318172,5715415,Active,270,09-12-2023 17:28:03,19-12-2023 18:00:00,Sunil Kumar Yadav,Ministry Of Coal,South Eastern Coalfields Limited,8,0,0,,
GEM/2023/B/4240193,5630724,Active,176,05-12-2023 10:38:05,26-12-2023 11:00:00,Kundan Kumar Dubey,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),20,0,0,,
GEM/2023/B/4386212,5789479,Active,56,09-01-2024 12:33:15,30-01-2024 09:00:00,Shailender Singh,Ministry Of Power,Nhpc Limited,23,0,0,,
GEM/2024/B/4452363,5862005,Active,7,08-01-2024 16:12:14,13-03-2024 15:00:00,Uday Anand,Ministry Of Steel,Rourkela Steel Plant,0,0,0,N/A,N/A
GEM/2023/B/4309262,5705747,Active,12,18-01-2024 13:22:28,08-02-2024 14:00:00,Deo Kumar Singh,Ministry Of Coal,Northern Coalfields Limited,8,1,7,N/A,N/A
GEM/2024/B/4486988,5899589,Active,4,15-01-2024 17:54:22,24-02-2024 15:00:00,Anil Kumar,Ministry Of Petroleum And Natural Gas,Gail India Limited,5,0,0,,
GEM/2024/B/4480733,5892730,Active,50,24-01-2024 13:32:16,17-02-2024 15:00:00,Debasish Kujur,Ministry Of Coal,Mahanadi Coalfields Limited,7,0,0,,
GEM/2024/B/4524073,5940369,Active,2,23-01-2024 18:29:09,02-02-2024 19:00:00,***********,Ministry Of Defence,Indian Navy,6,2,4,GLOBAL PRECISION INDUSTRIES (MSE) ( MSE Social Category:General ) Under PMA,` 396000.00
GEM/2024/B/4539263,5956801,Active,64,27-01-2024 09:40:53,12-02-2024 10:00:00,Binduja Menon,Ministry Of Chemicals And Fertilizers,The Fertilisers And Chemicals Travancore Limited,22,0,0,,
GEM/2024/B/4460512,5870774,Active,44,02-02-2024 20:14:34,23-02-2024 12:00:00,Raj Kumar,,N/a,5,0,0,,
GEM/2024/B/4598663,6022028,Active,20,09-02-2024 17:30:42,01-03-2024 18:00:00,Om Prakash Uday,Ministry Of Steel,Kiocl Limited,29,15,14,ACTIVE FLOW CONTROLS (MSE) ( MSE Social Category:General ) Under PMA,` 124670.00
GEM/2024/R/331738,6340639,,10,,,Aman Kumar,Ministry Of Steel,Bokaro Steel Plant,0,0,0,N/A,N/A
GEM/2024/B/4693072,6125607,Active,64,28-02-2024 11:34:15,18-03-2024 18:00:00,Pradeepta Kumar Chinara,Ministry Of Coal,Mahanadi Coalfields Limited,5,0,0,,
GEM/2024/B/4634132,6060828,Active,19,26-02-2024 17:29:43,11-04-2024 11:00:00,Sudhakar Narasimham Earla,Pmo,Nuclear Power Corporation Of India Limited,2,1,1,USMANI TUBES AND VALVES COMPANY PRIVATE LIMITED Under PMA,` 127089.00
GEM/2024/B/4760455,6199922,Active,87,10-03-2024 18:11:15,01-04-2024 19:00:00,Ulli Srikanth Ganesh,Ministry Of Coal,Western Coalfields Ltd,17,0,0,,
GEM/2024/R/317607,6198318,,8,,,Animesh Jain,Ministry Of Steel,Bokaro Steel Plant,0,0,0,FLUIDTECH EQUIPMENT PRIVATE LIMITED (MII) Under PMA,` 698305.09
GEM/2024/B/4485147,5897567,Active,18,16-01-2024 16:06:31,27-01-2024 14:00:00,Shailesh Kumar Pathak,Ministry Of Steel,Bokaro Steel Plant,14,0,0,,
GEM/2024/B/4486376,5898926,Active,117,15-01-2024 16:22:46,25-01-2024 17:00:00,Souryadeep Kumar,Ministry Of Steel,Rourkela Steel Plant,18,0,0,,
GEM/2024/B/4425640,5832869,Active,5,03-01-2024 11:16:10,22-01-2024 09:00:00,Nivedita Dhiman,Ministry Of Power,Power Grid Corporation Of India Limited,3,2,1,G.M. DALUI & SONS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,` 53134.95
GEM/2024/B/4479199,5891039,Active,20,13-01-2024 09:56:41,23-01-2024 16:00:00,***********,Ministry Of Defence,Bharat Earth Movers Limited (beml),12,12,0,SAFE VALVES (MII) Under PMA,` 11760.00
GEM/2024/R/347392,6519031,,1,,,Mojahid Hussain,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,"G.M. DALUI & SONS PRIVATE LIMITED (MSE,MII) Under PMA",` 466000.00
GEM/2024/R/426263,7299672,,5,,,Govinda Mahato,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,AIRA EURO AUTOMATION PRIVATE LIMITED (MII) Under PMA,` 1742535.00
GEM/2025/R/474890,7707828,,15,,,Sumit Das Sarkar,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2024/B/5096504,6570079,Active,2,26-06-2024 17:42:54,19-07-2024 14:00:00,Sumit Das Sarkar,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2024/R/380738,6877584,,60,,,Sumit Das Sarkar,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,"FLUID VALVE MANUFACTURING COMPANY (MSE,MII) Under PMA",` 315254.24
GEM/2024/B/5090721,6563818,Active,3,25-06-2024 16:18:00,15-07-2024 12:00:00,N R Sathiyavathi,Pmo,Bharatiya Nabhikiya Vidyut Nigam Limited,1,1,0,DARLING MUESCO (INDIA) PRIVATE LIMITED Under PMA,` 162840.00
GEM/2024/B/4978795,6440943,Active,1,13-06-2024 11:26:38,04-07-2024 15:00:00,Kamla Asiwal,Pmo,Directorate Of Purchase And Stores,7,7,0,CAIR INDIA (MII) Under PMA,` 154219.00
GEM/2024/B/4436269,5844396,Active,18,04-01-2024 17:42:06,25-01-2024 17:00:00,Shailendra Mishra,Ministry Of Mines,Hindustan Copper Limited,13,0,0,,
GEM/2024/B/5074880,6546358,Active,6,21-06-2024 12:48:44,12-07-2024 14:00:00,Aalok Aich,Ministry Of Petroleum And Natural Gas,Hindustan Petroleum Corporation Ltd,12,8,4,"AQUA FLOW TECHNOLOGIES (MSE,MII) Under PMA",` 336005.00
GEM/2024/B/4660081,6089318,Active,141,19-02-2024 18:12:09,29-02-2024 19:00:00,Baidyanath Sahoo,Ministry Of Coal,Mahanadi Coalfields Limited,6,0,0,,
GEM/2024/B/4677044,6107924,Active,54,22-02-2024 17:52:08,14-03-2024 18:00:00,Sundaram S K,Ministry Of Coal,Mahanadi Coalfields Limited,13,0,0,,
GEM/2024/B/4510066,5924759,Active,4,19-01-2024 17:46:23,29-01-2024 18:00:00,***********,Ministry Of Defence,Munitions India Limited,8,6,2,M/s INDIA ENGINEERING VALVE & PIPE FITTING (MII) Under PMA,` 108000.00
GEM/2023/B/4310096,5706628,Active,43,15-12-2023 11:32:25,05-01-2024 12:00:00,Bipin Maurya,Ministry Of Coal,Northern Coalfields Limited,5,0,0,,
GEM/2024/B/4890183,6343918,Active,64,25-04-2024 17:38:32,06-05-2024 18:00:00,Chaudhary Pradeep Kumar,Ministry Of Coal,Northern Coalfields Limited,12,0,0,,
GEM/2024/B/4956944,6416937,Active,114,18-05-2024 15:12:37,28-05-2024 16:00:00,Praveen Kumar,Ministry Of Coal,Northern Coalfields Limited,11,0,0,,
GEM/2023/B/4379883,5782624,Active,335,10-01-2024 17:14:58,31-01-2024 18:00:00,Sonali Agarwal,Ministry Of Power,Ntpc Limited,9,0,0,,
